018-04-17 00:46:12,013 - root - INFO - handle_data (18): 04 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00
2018-04-17 17:05:52,469 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 17:36:32,393 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 18:07:12,315 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 18:37:52,107 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 19:08:32,096 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 19:39:12,058 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 20:09:51,930 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 20:40:31,619 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 21:11:11,371 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 21:41:51,077 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
